RT,Stimuli,Response,Condition,Correct,Age,L1,ID,Fold,Time_taken,Sex,Language,Verb,Noun,Frequency,Score,Item,Accuracy,outliers,mAccuracy,mRT,iAccuracy,iRT
844,beat the odds,y,Collocation,y,55,English,P004,1,343.0,Female,English,beat,odd,12754,7.7,beat odd,1,,0.9573170731707316,851.3780487804878,0.967741935483871,842.3709677419355
671,hold hands,y,Compositional,y,55,English,P004,1,343.0,Female,English,hold,hand,168395,8.4,hold hand,1,,0.9573170731707316,851.3780487804878,1.0,730.8709677419355
620,cross a street,y,Compositional,y,55,English,P004,1,343.0,Female,English,cross,street,45592,9.0,cross street,1,,0.9573170731707316,851.3780487804878,0.9838709677419356,967.483870967742
666,strike gold,y,Idiom,y,55,English,P004,1,343.0,Female,English,strike,gold,11563,7.8,strike gold,1,,0.9573170731707316,851.3780487804878,0.9666666666666668,840.7
1251,scrape the skin,y,Compositional,y,55,English,P004,1,343.0,Female,English,scrape,skin,1675,5.4,scrape skin,1,,0.9573170731707316,851.3780487804878,0.9193548387096774,1072.983870967742
651,cast doubt,y,Collocation,y,55,English,P004,1,343.0,Female,English,cast,doubt,56812,9.6,cast doubt,1,,0.9573170731707316,851.3780487804878,0.9516129032258064,847.6451612903226
814,smell the roses,y,Idiom,y,55,English,P004,1,343.0,Female,English,smell,rose,7425,9.4,smell rose,1,,0.9573170731707316,851.3780487804878,0.9672131147540984,843.1147540983607
772,lock horns,y,Idiom,y,55,English,P004,1,343.0,Female,English,lock,horn,10804,8.4,lock horn,1,,0.9573170731707316,851.3780487804878,0.7903225806451613,1001.0967741935484
764,level the ground,y,Compositional,y,55,English,P004,1,343.0,Female,English,level,ground,2181,5.3,level ground,1,,0.9573170731707316,851.3780487804878,0.935483870967742,961.1612903225806
611,spill the beans,y,Idiom,y,55,English,P004,1,343.0,Female,English,spill,bean,18162,10.4,spill bean,1,,0.9573170731707316,851.3780487804878,1.0,768.3870967741935
1067,enter the market,y,Idiom,y,55,English,P004,1,343.0,Female,English,enter,market,122635,8.9,enter market,1,,0.9573170731707316,851.3780487804878,0.9672131147540984,871.4918032786885
654,float one's boat,y,Idiom,y,55,English,P004,1,343.0,Female,English,float,boat,12267,8.4,float boat,1,,0.9573170731707316,851.3780487804878,0.967741935483871,1002.7096774193548
660,battle one's demons,n,Idiom,y,55,English,P004,1,343.0,Female,English,battle,demon,4244,8.0,battle demon,0,,0.9573170731707316,851.3780487804878,0.9032258064516128,1087.5
965,drain the oil,y,Compositional,y,55,English,P004,1,343.0,Female,English,drain,oil,6015,6.9,drain oil,1,,0.9573170731707316,851.3780487804878,0.8225806451612904,1049.967741935484
842,spark a flame,y,Compositional,y,55,English,P004,1,343.0,Female,English,spark,flame,1100,5.7,spark flame,1,,0.9573170731707316,851.3780487804878,0.9193548387096774,943.741935483871
674,push the button,y,Idiom,y,55,English,P004,1,343.0,Female,English,push,button,90119,9.6,push button,1,,0.9573170731707316,851.3780487804878,0.9838709677419356,764.9516129032259
782,erase history,y,Collocation,y,55,English,P004,1,343.0,Female,English,erase,history,5499,5.8,erase history,1,,0.9573170731707316,851.3780487804878,0.9838709677419356,877.241935483871
1165,cover ground,y,Idiom,y,55,English,P004,1,343.0,Female,English,cover,ground,43449,7.4,cover ground,1,,0.9573170731707316,851.3780487804878,0.967741935483871,913.5645161290324
737,stifle dissent,y,Collocation,y,55,English,P004,1,343.0,Female,English,stifle,dissent,2974,9.1,stifle dissent,1,,0.9573170731707316,851.3780487804878,0.5737704918032787,1170.1475409836066
1181,throw a rock,y,Compositional,y,55,English,P004,1,343.0,Female,English,throw,rock,33109,8.0,throw rock,1,,0.9573170731707316,851.3780487804878,0.9516129032258064,912.3548387096774
808,chase a ball,y,Compositional,y,55,English,P004,1,343.0,Female,English,chase,ball,7917,6.8,chase ball,1,,0.9573170731707316,851.3780487804878,0.9672131147540984,1004.032786885246
611,raise a child,y,Collocation,y,55,English,P004,1,343.0,Female,English,raise,child,168326,8.7,raise child,1,,0.9573170731707316,851.3780487804878,1.0,759.9354838709677
1038,stir a mixture,y,Compositional,y,55,English,P004,1,343.0,Female,English,stir,mixture,9045,8.7,stir mixture,1,,0.9573170731707316,851.3780487804878,0.8360655737704918,1062.622950819672
591,cut corners,y,Idiom,y,55,English,P004,1,343.0,Female,English,cut,corner,41219,8.4,cut corner,1,,0.9573170731707316,851.3780487804878,0.9838709677419356,859.3064516129032
